Categorii de someri, Sexe, Macroregiuni  regiuni de dezvoltare si judete, Perioade, UM: Numar persoane, Valoare
- Universitar, Feminin, Covasna, Anul 2012, Numar persoane, 175
- Universitar, Feminin, Covasna, Anul 2013, Numar persoane, 183
- Universitar, Feminin, Covasna, Anul 2014, Numar persoane, 126
- Universitar, Feminin, Covasna, Anul 2015, Numar persoane, 87
- Universitar, Feminin, Covasna, Anul 2016, Numar persoane, 46
- Universitar, Feminin, Covasna, Anul 2017, Numar persoane, 53
- Universitar, Feminin, Covasna, Anul 2018, Numar persoane, 43
- Universitar, Feminin, Covasna, Anul 2019, Numar persoane, 45
- Universitar, Feminin, Covasna, Anul 2020, Numar persoane, 83
- Universitar, Feminin, Covasna, Anul 2021, Numar persoane, 47
- Universitar, Feminin, Covasna, Anul 2022, Numar persoane, 48
- Universitar, Feminin, Covasna, Anul 2023, Numar persoane, 49
- Universitar, Feminin, Harghita, Anul 2011, Numar persoane, 325
- Universitar, Feminin, Harghita, Anul 2012, Numar persoane, 365
- Universitar, Feminin, Harghita, Anul 2013, Numar persoane, 381
- Universitar, Feminin, Harghita, Anul 2014, Numar persoane, 290
- Universitar, Feminin, Harghita, Anul 2015, Numar persoane, 206
- Universitar, Feminin, Harghita, Anul 2016, Numar persoane, 103
- Universitar, Feminin, Harghita, Anul 2017, Numar persoane, 152
- Universitar, Feminin, Harghita, Anul 2018, Numar persoane, 160
- Universitar, Feminin, Harghita, Anul 2019, Numar persoane, 131
- Universitar, Feminin, Harghita, Anul 2020, Numar persoane, 191
- Universitar, Feminin, Harghita, Anul 2021, Numar persoane, 95
- Universitar, Feminin, Harghita, Anul 2022, Numar persoane, 125
- Universitar, Feminin, Harghita, Anul 2023, Numar persoane, 93
- Universitar, Feminin, Mures, Anul 2011, Numar persoane, 618
- Universitar, Feminin, Mures, Anul 2012, Numar persoane, 516
- Universitar, Feminin, Mures, Anul 2013, Numar persoane, 489
- Universitar, Feminin, Mures, Anul 2014, Numar persoane, 485
- Universitar, Feminin, Mures, Anul 2015, Numar persoane, 215
- Universitar, Feminin, Mures, Anul 2016, Numar persoane, 164
- Universitar, Feminin, Mures, Anul 2017, Numar persoane, 114
- Universitar, Feminin, Mures, Anul 2018, Numar persoane, 132
- Universitar, Feminin, Mures, Anul 2019, Numar persoane, 140
- Universitar, Feminin, Mures, Anul 2020, Numar persoane, 229
- Universitar, Feminin, Mures, Anul 2021, Numar persoane, 117
- Universitar, Feminin, Mures, Anul 2022, Numar persoane, 128
- Universitar, Feminin, Mures, Anul 2023, Numar persoane, 115
- Universitar, Feminin, Sibiu, Anul 2011, Numar persoane, 510
- Universitar, Feminin, Sibiu, Anul 2012, Numar persoane, 449
- Universitar, Feminin, Sibiu, Anul 2013, Numar persoane, 458
- Universitar, Feminin, Sibiu, Anul 2014, Numar persoane, 334
- Universitar, Feminin, Sibiu, Anul 2015, Numar persoane, 242
- Universitar, Feminin, Sibiu, Anul 2016, Numar persoane, 145
- Universitar, Feminin, Sibiu, Anul 2017, Numar persoane, 162
- Universitar, Feminin, Sibiu, Anul 2018, Numar persoane, 120
- Universitar, Feminin, Sibiu, Anul 2019, Numar persoane, 144
- Universitar, Feminin, Sibiu, Anul 2020, Numar persoane, 281
- Universitar, Feminin, Sibiu, Anul 2021, Numar persoane, 133
- Universitar, Feminin, Sibiu, Anul 2022, Numar persoane, 130
- Universitar, Feminin, Sibiu, Anul 2023, Numar persoane, 144
- Universitar, Feminin, MACROREGIUNEA DOI, Anul 2011, Numar persoane, 5929
- Universitar, Feminin, MACROREGIUNEA DOI, Anul 2012, Numar persoane, 5394
- Universitar, Feminin, MACROREGIUNEA DOI, Anul 2013, Numar persoane, 5186
- Universitar, Feminin, MACROREGIUNEA DOI, Anul 2014, Numar persoane, 4010
- Universitar, Feminin, MACROREGIUNEA DOI, Anul 2015, Numar persoane, 3014
- Universitar, Feminin, MACROREGIUNEA DOI, Anul 2016, Numar persoane, 2336
- Universitar, Feminin, MACROREGIUNEA DOI, Anul 2017, Numar persoane, 1983
- Universitar, Feminin, MACROREGIUNEA DOI, Anul 2018, Numar persoane, 1675
- Universitar, Feminin, MACROREGIUNEA DOI, Anul 2019, Numar persoane, 1710
- Universitar, Feminin, MACROREGIUNEA DOI, Anul 2020, Numar persoane, 2457
- Universitar, Feminin, MACROREGIUNEA DOI, Anul 2021, Numar persoane, 1462
- Universitar, Feminin, MACROREGIUNEA DOI, Anul 2022, Numar persoane, 1312
- Universitar, Feminin, MACROREGIUNEA DOI, Anul 2023, Numar persoane, 1298
- Universitar, Feminin, Regiunea NORD-EST, Anul 2011, Numar persoane, 3188
- Universitar, Feminin, Regiunea NORD-EST, Anul 2012, Numar persoane, 2796
- Universitar, Feminin, Regiunea NORD-EST, Anul 2013, Numar persoane, 2858
- Universitar, Feminin, Regiunea NORD-EST, Anul 2014, Numar persoane, 2071
- Universitar, Feminin, Regiunea NORD-EST, Anul 2015, Numar persoane, 1613
- Universitar, Feminin, Regiunea NORD-EST, Anul 2016, Numar persoane, 1175
- Universitar, Feminin, Regiunea NORD-EST, Anul 2017, Numar persoane, 900
- Universitar, Feminin, Regiunea NORD-EST, Anul 2018, Numar persoane, 827
- Universitar, Feminin, Regiunea NORD-EST, Anul 2019, Numar persoane, 856
- Universitar, Feminin, Regiunea NORD-EST, Anul 2020, Numar persoane, 1233
- Universitar, Feminin, Regiunea NORD-EST, Anul 2021, Numar persoane, 734
- Universitar, Feminin, Regiunea NORD-EST, Anul 2022, Numar persoane, 656
- Universitar, Feminin, Regiunea NORD-EST, Anul 2023, Numar persoane, 724
- Universitar, Feminin, Bacau, Anul 2011, Numar persoane, 647
- Universitar, Feminin, Bacau, Anul 2012, Numar persoane, 609
- Universitar, Feminin, Bacau, Anul 2013, Numar persoane, 654
- Universitar, Feminin, Bacau, Anul 2014, Numar persoane, 399
- Universitar, Feminin, Bacau, Anul 2015, Numar persoane, 258
- Universitar, Feminin, Bacau, Anul 2016, Numar persoane, 324
- Universitar, Feminin, Bacau, Anul 2017, Numar persoane, 208
- Universitar, Feminin, Bacau, Anul 2018, Numar persoane, 182
- Universitar, Feminin, Bacau, Anul 2019, Numar persoane, 159
- Universitar, Feminin, Bacau, Anul 2020, Numar persoane, 167
- Universitar, Feminin, Bacau, Anul 2021, Numar persoane, 150
- Universitar, Feminin, Bacau, Anul 2022, Numar persoane, 119
- Universitar, Feminin, Bacau, Anul 2023, Numar persoane, 129
- Universitar, Feminin, Botosani, Anul 2011, Numar persoane, 343
- Universitar, Feminin, Botosani, Anul 2012, Numar persoane, 277
- Universitar, Feminin, Botosani, Anul 2013, Numar persoane, 302
- Universitar, Feminin, Botosani, Anul 2014, Numar persoane, 218
- Universitar, Feminin, Botosani, Anul 2015, Numar persoane, 160
- Universitar, Feminin, Botosani, Anul 2016, Numar persoane, 97
- Universitar, Feminin, Botosani, Anul 2017, Numar persoane, 85
- Universitar, Feminin, Botosani, Anul 2018, Numar persoane, 56
- Universitar, Feminin, Botosani, Anul 2019, Numar persoane, 76
- Universitar, Feminin, Botosani, Anul 2020, Numar persoane, 108
- Universitar, Feminin, Botosani, Anul 2021, Numar persoane, 54
- Universitar, Feminin, Botosani, Anul 2022, Numar persoane, 47
- Universitar, Feminin, Botosani, Anul 2023, Numar persoane, 51
- Universitar, Feminin, Iasi, Anul 2011, Numar persoane, 757
- Universitar, Feminin, Iasi, Anul 2012, Numar persoane, 624
- Universitar, Feminin, Iasi, Anul 2013, Numar persoane, 591
- Universitar, Feminin, Iasi, Anul 2014, Numar persoane, 407
- Universitar, Feminin, Iasi, Anul 2015, Numar persoane, 321
- Universitar, Feminin, Iasi, Anul 2016, Numar persoane, 238
- Universitar, Feminin, Iasi, Anul 2017, Numar persoane, 203
- Universitar, Feminin, Iasi, Anul 2018, Numar persoane, 159
- Universitar, Feminin, Iasi, Anul 2019, Numar persoane, 193
- Universitar, Feminin, Iasi, Anul 2020, Numar persoane, 322
- Universitar, Feminin, Iasi, Anul 2021, Numar persoane, 151
- Universitar, Feminin, Iasi, Anul 2022, Numar persoane, 123
- Universitar, Feminin, Iasi, Anul 2023, Numar persoane, 155
- Universitar, Feminin, Neamt, Anul 2011, Numar persoane, 525
- Universitar, Feminin, Neamt, Anul 2012, Numar persoane, 453
- Universitar, Feminin, Neamt, Anul 2013, Numar persoane, 462
- Universitar, Feminin, Neamt, Anul 2014, Numar persoane, 410
- Universitar, Feminin, Neamt, Anul 2015, Numar persoane, 367
- Universitar, Feminin, Neamt, Anul 2016, Numar persoane, 274
- Universitar, Feminin, Neamt, Anul 2017, Numar persoane, 142
- Universitar, Feminin, Neamt, Anul 2018, Numar persoane, 140
- Universitar, Feminin, Neamt, Anul 2019, Numar persoane, 153
- Universitar, Feminin, Neamt, Anul 2020, Numar persoane, 209
- Universitar, Feminin, Neamt, Anul 2021, Numar persoane, 130
- Universitar, Feminin, Neamt, Anul 2022, Numar persoane, 104
- Universitar, Feminin, Neamt, Anul 2023, Numar persoane, 138
- Universitar, Feminin, Suceava, Anul 2011, Numar persoane, 588
- Universitar, Feminin, Suceava, Anul 2012, Numar persoane, 578
- Universitar, Feminin, Suceava, Anul 2013, Numar persoane, 628
- Universitar, Feminin, Suceava, Anul 2014, Numar persoane, 484
- Universitar, Feminin, Suceava, Anul 2015, Numar persoane, 396
- Universitar, Feminin, Suceava, Anul 2016, Numar persoane, 202
- Universitar, Feminin, Suceava, Anul 2017, Numar persoane, 198
- Universitar, Feminin, Suceava, Anul 2018, Numar persoane, 244
- Universitar, Feminin, Suceava, Anul 2019, Numar persoane, 242
- Universitar, Feminin, Suceava, Anul 2020, Numar persoane, 350
- Universitar, Feminin, Suceava, Anul 2021, Numar persoane, 204
- Universitar, Feminin, Suceava, Anul 2022, Numar persoane, 204
- Universitar, Feminin, Suceava, Anul 2023, Numar persoane, 205
- Universitar, Feminin, Vaslui, Anul 2011, Numar persoane, 328
- Universitar, Feminin, Vaslui, Anul 2012, Numar persoane, 255
- Universitar, Feminin, Vaslui, Anul 2013, Numar persoane, 221
- Universitar, Feminin, Vaslui, Anul 2014, Numar persoane, 153
- Universitar, Feminin, Vaslui, Anul 2015, Numar persoane, 111
- Universitar, Feminin, Vaslui, Anul 2016, Numar persoane, 40
- Universitar, Feminin, Vaslui, Anul 2017, Numar persoane, 64
- Universitar, Feminin, Vaslui, Anul 2018, Numar persoane, 46
- Universitar, Feminin, Vaslui, Anul 2019, Numar persoane, 33
- Universitar, Feminin, Vaslui, Anul 2020, Numar persoane, 77
- Universitar, Feminin, Vaslui, Anul 2021, Numar persoane, 45
- Universitar, Feminin, Vaslui, Anul 2022, Numar persoane, 59
- Universitar, Feminin, Vaslui, Anul 2023, Numar persoane, 46
- Universitar, Feminin, Regiunea SUD-EST, Anul 2011, Numar persoane, 2741
- Universitar, Feminin, Regiunea SUD-EST, Anul 2012, Numar persoane, 2598
- Universitar, Feminin, Regiunea SUD-EST, Anul 2013, Numar persoane, 2328
- Universitar, Feminin, Regiunea SUD-EST, Anul 2014, Numar persoane, 1939
- Universitar, Feminin, Regiunea SUD-EST, Anul 2015, Numar persoane, 1401
- Universitar, Feminin, Regiunea SUD-EST, Anul 2016, Numar persoane, 1161
- Universitar, Feminin, Regiunea SUD-EST, Anul 2017, Numar persoane, 1083
- Universitar, Feminin, Regiunea SUD-EST, Anul 2018, Numar persoane, 848
- Universitar, Feminin, Regiunea SUD-EST, Anul 2019, Numar persoane, 854
- Universitar, Feminin, Regiunea SUD-EST, Anul 2020, Numar persoane, 1224
- Universitar, Feminin, Regiunea SUD-EST, Anul 2021, Numar persoane, 728
- Universitar, Feminin, Regiunea SUD-EST, Anul 2022, Numar persoane, 656
- Universitar, Feminin, Regiunea SUD-EST, Anul 2023, Numar persoane, 574
- Universitar, Feminin, Braila, Anul 2011, Numar persoane, 355
- Universitar, Feminin, Braila, Anul 2012, Numar persoane, 335
- Universitar, Feminin, Braila, Anul 2013, Numar persoane, 328
- Universitar, Feminin, Braila, Anul 2014, Numar persoane, 288
- Universitar, Feminin, Braila, Anul 2015, Numar persoane, 171
- Universitar, Feminin, Braila, Anul 2016, Numar persoane, 139
- Universitar, Feminin, Braila, Anul 2017, Numar persoane, 98
- Universitar, Feminin, Braila, Anul 2018, Numar persoane, 91
- Universitar, Feminin, Braila, Anul 2019, Numar persoane, 90
- Universitar, Feminin, Braila, Anul 2020, Numar persoane, 108
- Universitar, Feminin, Braila, Anul 2021, Numar persoane, 81
- Universitar, Feminin, Braila, Anul 2022, Numar persoane, 63
- Universitar, Feminin, Braila, Anul 2023, Numar persoane, 60
- Universitar, Feminin, Buzau, Anul 2011, Numar persoane, 317
- Universitar, Feminin, Buzau, Anul 2012, Numar persoane, 289
- Universitar, Feminin, Buzau, Anul 2013, Numar persoane, 293
- Universitar, Feminin, Buzau, Anul 2014, Numar persoane, 292
- Universitar, Feminin, Buzau, Anul 2015, Numar persoane, 195
- Universitar, Feminin, Buzau, Anul 2016, Numar persoane, 138
- Universitar, Feminin, Buzau, Anul 2017, Numar persoane, 81
- Universitar, Feminin, Buzau, Anul 2018, Numar persoane, 80
- Universitar, Feminin, Buzau, Anul 2019, Numar persoane, 71
- Universitar, Feminin, Buzau, Anul 2020, Numar persoane, 120
- Universitar, Feminin, Buzau, Anul 2021, Numar persoane, 77
- Universitar, Feminin, Buzau, Anul 2022, Numar persoane, 56
- Universitar, Feminin, Buzau, Anul 2023, Numar persoane, 59
- Universitar, Feminin, Constanta, Anul 2011, Numar persoane, 893
- Universitar, Feminin, Constanta, Anul 2012, Numar persoane, 903
- Universitar, Feminin, Constanta, Anul 2013, Numar persoane, 737
- Universitar, Feminin, Constanta, Anul 2014, Numar persoane, 560
- Universitar, Feminin, Constanta, Anul 2015, Numar persoane, 510
- Universitar, Feminin, Constanta, Anul 2016, Numar persoane, 463
- Universitar, Feminin, Constanta, Anul 2017, Numar persoane, 572
- Universitar, Feminin, Constanta, Anul 2018, Numar persoane, 372
- Universitar, Feminin, Constanta, Anul 2019, Numar persoane, 355
- Universitar, Feminin, Constanta, Anul 2020, Numar persoane, 517
- Universitar, Feminin, Constanta, Anul 2021, Numar persoane, 279
- Universitar, Feminin, Constanta, Anul 2022, Numar persoane, 247
- Universitar, Feminin, Constanta, Anul 2023, Numar persoane, 217
- Universitar, Feminin, Galati, Anul 2011, Numar persoane, 703
- Universitar, Feminin, Galati, Anul 2012, Numar persoane, 620
- Universitar, Feminin, Galati, Anul 2013, Numar persoane, 528
- Universitar, Feminin, Galati, Anul 2014, Numar persoane, 473
- Universitar, Feminin, Galati, Anul 2015, Numar persoane, 291
- Universitar, Feminin, Galati, Anul 2016, Numar persoane, 217
- Universitar, Feminin, Galati, Anul 2017, Numar persoane, 202
- Universitar, Feminin, Galati, Anul 2018, Numar persoane, 205
- Universitar, Feminin, Galati, Anul 2019, Numar persoane, 229
- Universitar, Feminin, Galati, Anul 2020, Numar persoane, 305
- Universitar, Feminin, Galati, Anul 2021, Numar persoane, 194
- Universitar, Feminin, Galati, Anul 2022, Numar persoane, 188
- Universitar, Feminin, Galati, Anul 2023, Numar persoane, 145
- Universitar, Feminin, Tulcea, Anul 2011, Numar persoane, 187
- Universitar, Feminin, Tulcea, Anul 2012, Numar persoane, 186
- Universitar, Feminin, Tulcea, Anul 2013, Numar persoane, 186
- Universitar, Feminin, Tulcea, Anul 2014, Numar persoane, 112
- Universitar, Feminin, Tulcea, Anul 2015, Numar persoane, 104
- Universitar, Feminin, Tulcea, Anul 2016, Numar persoane, 78
- Universitar, Feminin, Tulcea, Anul 2017, Numar persoane, 28
- Universitar, Feminin, Tulcea, Anul 2018, Numar persoane, 17
- Universitar, Feminin, Tulcea, Anul 2019, Numar persoane, 36
- Universitar, Feminin, Tulcea, Anul 2020, Numar persoane, 59
- Universitar, Feminin, Tulcea, Anul 2021, Numar persoane, 34
- Universitar, Feminin, Tulcea, Anul 2022, Numar persoane, 49
- Universitar, Feminin, Tulcea, Anul 2023, Numar persoane, 46
- Universitar, Feminin, Vrancea, Anul 2011, Numar persoane, 286
- Universitar, Feminin, Vrancea, Anul 2012, Numar persoane, 265
- Universitar, Feminin, Vrancea, Anul 2013, Numar persoane, 256
- Universitar, Feminin, Vrancea, Anul 2014, Numar persoane, 214
- Universitar, Feminin, Vrancea, Anul 2015, Numar persoane, 130
- Universitar, Feminin, Vrancea, Anul 2016, Numar persoane, 126
- Universitar, Feminin, Vrancea, Anul 2017, Numar persoane, 102
- Universitar, Feminin, Vrancea, Anul 2018, Numar persoane, 83
- Universitar, Feminin, Vrancea, Anul 2019, Numar persoane, 73
- Universitar, Feminin, Vrancea, Anul 2020, Numar persoane, 115
- Universitar, Feminin, Vrancea, Anul 2021, Numar persoane, 63
- Universitar, Feminin, Vrancea, Anul 2022, Numar persoane, 53
- Universitar, Feminin, Vrancea, Anul 2023, Numar persoane, 47
- Universitar, Feminin, MACROREGIUNEA TREI, Anul 2011, Numar persoane, 6173
- Universitar, Feminin, MACROREGIUNEA TREI, Anul 2012, Numar persoane, 6404
- Universitar, Feminin, MACROREGIUNEA TREI, Anul 2013, Numar persoane, 6415
- Universitar, Feminin, MACROREGIUNEA TREI, Anul 2014, Numar persoane, 5172
- Universitar, Feminin, MACROREGIUNEA TREI, Anul 2015, Numar persoane, 4435
- Universitar, Feminin, MACROREGIUNEA TREI, Anul 2016, Numar persoane, 3421
- Universitar, Feminin, MACROREGIUNEA TREI, Anul 2017, Numar persoane, 3417
- Universitar, Feminin, MACROREGIUNEA TREI, Anul 2018, Numar persoane, 3542
- Universitar, Feminin, MACROREGIUNEA TREI, Anul 2019, Numar persoane, 3233
- Universitar, Feminin, MACROREGIUNEA TREI, Anul 2020, Numar persoane, 3648
- Universitar, Feminin, MACROREGIUNEA TREI, Anul 2021, Numar persoane, 2615
- Universitar, Feminin, MACROREGIUNEA TREI, Anul 2022, Numar persoane, 2425
- Universitar, Feminin, MACROREGIUNEA TREI, Anul 2023, Numar persoane, 2659
- Universitar, Feminin, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 3207
- Universitar, Feminin, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 2848
- Universitar, Feminin, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 2785
- Universitar, Feminin, Regiunea SUD-MUNTENIA, Anul 2014, Numar persoane, 2166
- Universitar, Feminin, Regiunea SUD-MUNTENIA, Anul 2015, Numar persoane, 1588
- Universitar, Feminin, Regiunea SUD-MUNTENIA, Anul 2016, Numar persoane, 890
- Universitar, Feminin, Regiunea SUD-MUNTENIA, Anul 2017, Numar persoane, 905
- Universitar, Feminin, Regiunea SUD-MUNTENIA, Anul 2018, Numar persoane, 839
- Universitar, Feminin, Regiunea SUD-MUNTENIA, Anul 2019, Numar persoane, 770
- Universitar, Feminin, Regiunea SUD-MUNTENIA, Anul 2020, Numar persoane, 1187
- Universitar, Feminin, Regiunea SUD-MUNTENIA, Anul 2021, Numar persoane, 727
- Universitar, Feminin, Regiunea SUD-MUNTENIA, Anul 2022, Numar persoane, 694
- Universitar, Feminin, Regiunea SUD-MUNTENIA, Anul 2023, Numar persoane, 640
- Universitar, Feminin, Arges, Anul 2011, Numar persoane, 848
- Universitar, Feminin, Arges, Anul 2012, Numar persoane, 760
- Universitar, Feminin, Arges, Anul 2013, Numar persoane, 823
- Universitar, Feminin, Arges, Anul 2014, Numar persoane, 619
- Universitar, Feminin, Arges, Anul 2015, Numar persoane, 378
- Universitar, Feminin, Arges, Anul 2016, Numar persoane, 201
- Universitar, Feminin, Arges, Anul 2017, Numar persoane, 214
- Universitar, Feminin, Arges, Anul 2018, Numar persoane, 204
- Universitar, Feminin, Arges, Anul 2019, Numar persoane, 212
- Universitar, Feminin, Arges, Anul 2020, Numar persoane, 355
- Universitar, Feminin, Arges, Anul 2021, Numar persoane, 216
- Universitar, Feminin, Arges, Anul 2022, Numar persoane, 205
- Universitar, Feminin, Arges, Anul 2023, Numar persoane, 166
- Universitar, Feminin, Calarasi, Anul 2011, Numar persoane, 164
- Universitar, Feminin, Calarasi, Anul 2012, Numar persoane, 124
- Universitar, Feminin, Calarasi, Anul 2013, Numar persoane, 143
- Universitar, Feminin, Calarasi, Anul 2014, Numar persoane, 96
- Universitar, Feminin, Calarasi, Anul 2015, Numar persoane, 92
- Universitar, Feminin, Calarasi, Anul 2016, Numar persoane, 62
- Universitar, Feminin, Calarasi, Anul 2017, Numar persoane, 59
- Universitar, Feminin, Calarasi, Anul 2018, Numar persoane, 48
- Universitar, Feminin, Calarasi, Anul 2019, Numar persoane, 37
- Universitar, Feminin, Calarasi, Anul 2020, Numar persoane, 67
- Universitar, Feminin, Calarasi, Anul 2021, Numar persoane, 31
- Universitar, Feminin, Calarasi, Anul 2022, Numar persoane, 32
- Universitar, Feminin, Calarasi, Anul 2023, Numar persoane, 53
- Universitar, Feminin, Dambovita, Anul 2011, Numar persoane, 501
- Universitar, Feminin, Dambovita, Anul 2012, Numar persoane, 532
- Universitar, Feminin, Dambovita, Anul 2013, Numar persoane, 455
- Universitar, Feminin, Dambovita, Anul 2014, Numar persoane, 337
- Universitar, Feminin, Dambovita, Anul 2015, Numar persoane, 247
- Universitar, Feminin, Dambovita, Anul 2016, Numar persoane, 198
- Universitar, Feminin, Dambovita, Anul 2017, Numar persoane, 162
- Universitar, Feminin, Dambovita, Anul 2018, Numar persoane, 143
- Universitar, Feminin, Dambovita, Anul 2019, Numar persoane, 135
- Universitar, Feminin, Dambovita, Anul 2020, Numar persoane, 209
- Universitar, Feminin, Dambovita, Anul 2021, Numar persoane, 93
- Universitar, Feminin, Dambovita, Anul 2022, Numar persoane, 96
- Universitar, Feminin, Dambovita, Anul 2023, Numar persoane, 86
- Universitar, Feminin, Giurgiu, Anul 2011, Numar persoane, 172
- Universitar, Feminin, Giurgiu, Anul 2012, Numar persoane, 138
- Universitar, Feminin, Giurgiu, Anul 2013, Numar persoane, 139
- Universitar, Feminin, Giurgiu, Anul 2014, Numar persoane, 151
- Universitar, Feminin, Giurgiu, Anul 2015, Numar persoane, 103
- Universitar, Feminin, Giurgiu, Anul 2016, Numar persoane, 40
- Universitar, Feminin, Giurgiu, Anul 2017, Numar persoane, 39
- Universitar, Feminin, Giurgiu, Anul 2018, Numar persoane, 48
- Universitar, Feminin, Giurgiu, Anul 2019, Numar persoane, 30
- Universitar, Feminin, Giurgiu, Anul 2020, Numar persoane, 50
- Universitar, Feminin, Giurgiu, Anul 2021, Numar persoane, 39
- Universitar, Feminin, Giurgiu, Anul 2022, Numar persoane, 30
- Universitar, Feminin, Giurgiu, Anul 2023, Numar persoane, 18
- Universitar, Feminin, Ialomita, Anul 2011, Numar persoane, 197
- Universitar, Feminin, Ialomita, Anul 2012, Numar persoane, 148
- Universitar, Feminin, Ialomita, Anul 2013, Numar persoane, 150
- Universitar, Feminin, Ialomita, Anul 2014, Numar persoane, 96
- Universitar, Feminin, Ialomita, Anul 2015, Numar persoane, 97
- Universitar, Feminin, Ialomita, Anul 2016, Numar persoane, 37
- Universitar, Feminin, Ialomita, Anul 2017, Numar persoane, 66
- Universitar, Feminin, Ialomita, Anul 2018, Numar persoane, 38
- Universitar, Feminin, Ialomita, Anul 2019, Numar persoane, 39
- Universitar, Feminin, Ialomita, Anul 2020, Numar persoane, 52
- Universitar, Feminin, Ialomita, Anul 2021, Numar persoane, 42
- Universitar, Feminin, Ialomita, Anul 2022, Numar persoane, 26
- Universitar, Feminin, Ialomita, Anul 2023, Numar persoane, 28
- Universitar, Feminin, Prahova, Anul 2011, Numar persoane, 1014
- Universitar, Feminin, Prahova, Anul 2012, Numar persoane, 863
- Universitar, Feminin, Prahova, Anul 2013, Numar persoane, 854
- Universitar, Feminin, Prahova, Anul 2014, Numar persoane, 678
- Universitar, Feminin, Prahova, Anul 2015, Numar persoane, 512
- Universitar, Feminin, Prahova, Anul 2016, Numar persoane, 274
- Universitar, Feminin, Prahova, Anul 2017, Numar persoane, 311
- Universitar, Feminin, Prahova, Anul 2018, Numar persoane, 308
- Universitar, Feminin, Prahova, Anul 2019, Numar persoane, 282
- Universitar, Feminin, Prahova, Anul 2020, Numar persoane, 417
- Universitar, Feminin, Prahova, Anul 2021, Numar persoane, 241
- Universitar, Feminin, Prahova, Anul 2022, Numar persoane, 227
- Universitar, Feminin, Prahova, Anul 2023, Numar persoane, 226
- Universitar, Feminin, Teleorman, Anul 2011, Numar persoane, 311
- Universitar, Feminin, Teleorman, Anul 2012, Numar persoane, 283
- Universitar, Feminin, Teleorman, Anul 2013, Numar persoane, 221
- Universitar, Feminin, Teleorman, Anul 2014, Numar persoane, 189
- Universitar, Feminin, Teleorman, Anul 2015, Numar persoane, 159
- Universitar, Feminin, Teleorman, Anul 2016, Numar persoane, 78
- Universitar, Feminin, Teleorman, Anul 2017, Numar persoane, 54
- Universitar, Feminin, Teleorman, Anul 2018, Numar persoane, 50
- Universitar, Feminin, Teleorman, Anul 2019, Numar persoane, 35
- Universitar, Feminin, Teleorman, Anul 2020, Numar persoane, 37
- Universitar, Feminin, Teleorman, Anul 2021, Numar persoane, 65
- Universitar, Feminin, Teleorman, Anul 2022, Numar persoane, 78
- Universitar, Feminin, Teleorman, Anul 2023, Numar persoane, 63
- Universitar, Feminin, Regiunea BUCURESTI - ILFOV, Anul 2011, Numar persoane, 2966
- Universitar, Feminin, Regiunea BUCURESTI - ILFOV, Anul 2012, Numar persoane, 3556
- Universitar, Feminin, Regiunea BUCURESTI - ILFOV, Anul 2013, Numar persoane, 3630
- Universitar, Feminin, Regiunea BUCURESTI - ILFOV, Anul 2014, Numar persoane, 3006
- Universitar, Feminin, Regiunea BUCURESTI - ILFOV, Anul 2015, Numar persoane, 2847
- Universitar, Feminin, Regiunea BUCURESTI - ILFOV, Anul 2016, Numar persoane, 2531
- Universitar, Feminin, Regiunea BUCURESTI - ILFOV, Anul 2017, Numar persoane, 2512
- Universitar, Feminin, Regiunea BUCURESTI - ILFOV, Anul 2018, Numar persoane, 2703
- Universitar, Feminin, Regiunea BUCURESTI - ILFOV, Anul 2019, Numar persoane, 2463
- Universitar, Feminin, Regiunea BUCURESTI - ILFOV, Anul 2020, Numar persoane, 2461
- Universitar, Feminin, Regiunea BUCURESTI - ILFOV, Anul 2021, Numar persoane, 1888
- Universitar, Feminin, Regiunea BUCURESTI - ILFOV, Anul 2022, Numar persoane, 1731
- Universitar, Feminin, Regiunea BUCURESTI - ILFOV, Anul 2023, Numar persoane, 2019
- Universitar, Feminin, Ilfov, Anul 2011, Numar persoane, 143
- Universitar, Feminin, Ilfov, Anul 2012, Numar persoane, 158
- Universitar, Feminin, Ilfov, Anul 2013, Numar persoane, 161
- Universitar, Feminin, Ilfov, Anul 2014, Numar persoane, 123
- Universitar, Feminin, Ilfov, Anul 2015, Numar persoane, 104
- Universitar, Feminin, Ilfov, Anul 2016, Numar persoane, 71
- Universitar, Feminin, Ilfov, Anul 2017, Numar persoane, 43
- Universitar, Feminin, Ilfov, Anul 2018, Numar persoane, 55
- Universitar, Feminin, Ilfov, Anul 2019, Numar persoane, 53
- Universitar, Feminin, Ilfov, Anul 2020, Numar persoane, 113
- Universitar, Feminin, Ilfov, Anul 2021, Numar persoane, 62
- Universitar, Feminin, Ilfov, Anul 2022, Numar persoane, 43
- Universitar, Feminin, Ilfov, Anul 2023, Numar persoane, 53
- Universitar, Feminin, Municipiul Bucuresti, Anul 2011, Numar persoane, 2823
- Universitar, Feminin, Municipiul Bucuresti, Anul 2012, Numar persoane, 3398
- Universitar, Feminin, Municipiul Bucuresti, Anul 2013, Numar persoane, 3469
- Universitar, Feminin, Municipiul Bucuresti, Anul 2014, Numar persoane, 2883
